PERSON_ID,JERSEY_NUMBER,TEAM_ABBREVIATION
2648,12,DET
201142,7,HOU
1631105,0,DET
76619,44,UTA
76621,17,IND
76622,33,SAC
1628979,0,MIL
76624,19,LAL
76625,35,PHX
76626,5,ATL
202406,11,NOP
289,21,WAS
76628,24,SAC
768,55,BOS
76630,6,PHI
203921,11,NYK
1631106,17,HOU
76631,53,UTA
76632,22,UTA
202365,3,LAL
76633,6,DET
76634,44,DET
2569,44,MIN
1630693,12,WAS
76635,41,NYK
76636,12,DET
76637,null,IND
1641744,14,MEM
76638,10,SAS
721,2,SAC
1630162,5,MIN
76646,40,PHI
898,30,UTA
1629035,4,DET
2451,34,NOP
1627739,8,LAC
76617,19,GSW
1642346,0,PHX
1642399,14,MIN
2823,54,ATL
1642348,11,PHI
1630556,20,DEN
236,21,MIA
1630306,null,OKC
202197,null,CLE
1629053,12,HOU
76647,21,WAS
76648,null,BOM
76649,14,BOS
378,3,CLE
76651," ",ATL
458,10,UTA
1918,14,ATL
2064,11,CHI
76653,14,BOS
53,17,HOU
1629604,16,MIN
76655," ",NYK
1627740,13,DET
201961,2,LAL
76656,54,BKN
76658,30,LAL
76664,31,DEN
107,9,OKC
1677,3,LAC
76661,31,GSW
1631165,23,SAC
111,3,DEN
1034,28,CHA
76663,25,LAL
101145,11,GSW
442,29,WAS
600010,44,BKN
1922,16,DEN
76641,10,PHI
229,53,IND
76643,3,LAC
2765,14,MEM
76669,null,CLR
76670,50,GSW
76671,43,DEN
76672,14,WAS
76673,2,DEN
76674,15,POR
76676,3,CHI
203119,24,DET
76675,14,PHX
76677,10,BOS
203898,10,LAL
203516,11,DEN
76678,32,GSW
201623,9,BOS
76679," ",LAL
76680,14,LAL
76681,6,PHI
1915,00,BKN
76682,null,JET
76683,4,TOR
76687,null,INO
967,11,ORL
76685,null,DET
1628980,12,GSW
1628393,8,LAC
202379,6,UTA
2230,6,ATL
76686,5,DEN
2501,30,OKC
201936,12,SAC
1641787,12,NYK
101137,3,LAC
121,33,NYK
203957,0,DAL
2408,4,CHA
203954,21,PHI
76668,15,SAC
1629605,99,CLE
76692,8,GSW
202702,35,DEN
76693,22,PHI
200770,4,LAL
2824,33,OKC
76695,22,OKC
76694,12,ATL
1108,8,GSW
76696,null,CLR
203543,38,BOS
202324,15,HOU
201174,20,LAC
76697,17,GSW
76698,null,WAS
76699,7,PHX
994,14,BKN
76701,22,LAL
76702," ",BAL
1627770,22,CLE
1626245,6,CHI
101230,16,OKC
76704,14,NYK
101109,2,CHA
76705,6,DET
76706,7,BOS
2724,5,POR
1628390,23,OKC
201164,5,POR
1628981,24,TOR
76707,45,BOS
76708,22,ATL
76709,32,POR
273,33,ATL
1627812,11,SAC
203105,31,GSW
76689,10,BAL
76691,33,LAL
1829,null,MEM
76713,54,MIL
202361,2,NYK
76714,20,PHI
1642271,22,UTA
76715,34,NYK
76716,29,BOS
76717,7,GSW
1627827,2,HOU
900,50,LAC
965,6,LAL
2809,4,MIA
1630238,8,LAC
76720,10   12,HUS
76719,null,HUS
2033,21,CHI
1641745,14,SAS
76722,30,OKC
76723,50,LAL
313,10,IND
2784,12,GSW
76725,23,CLE
1642280,9,CHI
76726,12,HOU
201938,3,MIN
1630201,18,SAS
76727,44,IND
76728,44,NYK
76729,7,NYK
76731,12,GSW
1631323,0,MIA
202880,54,NOP
1627854,6,MIN
201814,3,DEN
1630758,12,ORL
76732,8,OKC
76712,12,DET
198,35,CLE
201178,44,UTA
1630259,31,SAC
76736,1,SAC
101213,null,PHX
726,1,OKC
2551,5,IND
76738,22,LAL
76739,35,PHX
1630235,2,ATL
2218,40,OKC
202622,9,HOU
1504,21,DEN
76740,5,PHI
323,43,UTA
76742,10,PHX
1630701,35,PHI
2238,6,MEM
203095,31,DET
76744,14,DET
76745," ",ATL
1628368,4,SAS
76746,7,LAC
76747,40,OKC
296,17,LAL
200751,2,MIN
1502,31,GSW
2499,14,OKC
1883,3,HOU
76748,32,GSW
76749,null,PIT
203479,22,MEM
1629606,22,ORL
204025,10,CLE
76750,10,NYK
76751," ",GSW
201242,3,ATL
76733,42,DET
76734,35,LAL
76735,33,OKC
2092,null,PHX
76753,21,CLE
202683,11,BOS
200777,19,POR
76754,20,LAL
1642402,25,MIN
76755,23,MIL
